"","V1","V2","V3","V4","V5","V6","V7"
"1",0,1,2,3,4,5,18.57956
"2",0,1,2,3,5,4,15.01388
"3",0,1,2,4,3,5,20.946848
"4",0,1,2,5,3,4,14.687576
"5",0,1,2,4,5,3,20.168288
"6",0,1,2,5,4,3,17.474696
"7",0,1,3,2,4,5,19.77066875
"8",0,1,3,2,5,4,16.20498875
"9",0,1,4,2,3,5,25.83868175
"10",0,1,5,2,3,4,15.37666875
"11",0,1,4,2,5,3,25.06012175
"12",0,1,5,2,4,3,18.16378875
"13",0,1,3,4,2,5,24.4947755
"14",0,1,3,5,2,4,17.0836385
"15",0,1,4,3,2,5,28.1955005
"16",0,1,5,3,2,4,16.5816225
"17",0,1,4,5,2,3,26.5742525
"18",0,1,5,4,2,3,22.3715115
"19",0,1,3,4,5,2,26.279978
"20",0,1,3,5,4,2,22.434521
"21",0,1,4,3,5,2,29.980703
"22",0,1,5,3,4,2,21.932505
"23",0,1,4,5,3,2,29.138015
"24",0,1,5,4,3,2,24.935274
"25",0,2,1,3,4,5,18.33921825
"26",0,2,1,3,5,4,14.77353825
"27",0,2,1,4,3,5,20.70650625
"28",0,2,1,5,3,4,14.44723425
"29",0,2,1,4,5,3,19.92794625
"30",0,2,1,5,4,3,17.23435425
"31",0,3,1,2,4,5,21.08608575
"32",0,3,1,2,5,4,17.52040575
"33",0,4,1,2,3,5,32.98602975
"34",0,5,1,2,3,4,15.97816575
"35",0,4,1,2,5,3,32.20746975
"36",0,5,1,2,4,3,18.76528575
"37",0,3,1,4,2,5,25.8101925
"38",0,3,1,5,2,4,18.3990555
"39",0,4,1,3,2,5,35.3428485
"40",0,5,1,3,2,4,17.1831195
"41",0,4,1,5,2,3,33.7216005
"42",0,5,1,4,2,3,22.9730085
"43",0,3,1,4,5,2,27.595395
"44",0,3,1,5,4,2,23.749938
"45",0,4,1,3,5,2,37.128051
"46",0,5,1,3,4,2,22.534002
"47",0,4,1,5,3,2,36.285363
"48",0,5,1,4,3,2,25.536771
"49",0,2,3,1,4,5,19.10687025
"50",0,2,3,1,5,4,15.54119025
"51",0,2,4,1,3,5,24.76196025
"52",0,2,5,1,3,4,14.80275825
"53",0,2,4,1,5,3,23.98340025
"54",0,2,5,1,4,3,17.58987825
"55",0,3,2,1,4,5,20.662629
"56",0,3,2,1,5,4,17.096949
"57",0,4,2,1,3,5,32.14965
"58",0,5,2,1,3,4,15.644597
"59",0,4,2,1,5,3,31.37109
"60",0,5,2,1,4,3,18.431717
"61",0,3,4,1,2,5,32.1186765
"62",0,3,5,1,2,4,19.1576445
"63",0,4,3,1,2,5,37.9506075
"64",0,5,3,1,2,4,18.4437245
"65",0,4,5,1,2,3,35.0878875
"66",0,5,4,1,2,3,28.5420365
"67",0,3,4,1,5,2,33.903879
